CONFIGURATION USED
DCno: 2
Sector/DC: 1
Aisles/Sector: 1
Racks/aisle: 2
Hosts/Rack: 800
Application( if using workload , type 0 ): 0
ReplicationFactor: 2
DCfailure: 0
Sectorfailure: 0
Aislefailure: 0
Rackfailure: 1
Hostfailure: 0

 INITIALIZING the configuration 
0.1: Broker: VM #104 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #52
0.1: Broker: VM #105 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #52
0.1: Broker: VM #106 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #53
0.1: Broker: VM #107 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #53
0.1: Broker: VM #108 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #54
0.1: Broker: VM #109 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #54
0.1: Broker: VM #110 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #55
0.1: Broker: VM #111 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #55
0.1: Broker: VM #112 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #56
0.1: Broker: VM #113 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #56
0.1: Broker: VM #114 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #57
0.1: Broker: VM #115 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #57
0.1: Broker: VM #116 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #58
0.1: Broker: VM #117 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #58
0.1: Broker: VM #118 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #59
0.1: Broker: VM #119 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #59
0.1: Broker: VM #120 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #60
0.1: Broker: VM #121 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #60
0.1: Broker: VM #122 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #61
0.1: Broker: VM #123 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #61
0.1: Broker: VM #124 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #62
0.1: Broker: VM #125 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #62
0.1: Broker: VM #126 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #63
0.1: Broker: VM #127 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #63
0.1: Broker: VM #128 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #64
0.1: Broker: VM #129 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #64
0.1: Broker: VM #130 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #65
0.1: Broker: VM #131 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #65
0.1: Broker: VM #132 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #66
0.1: Broker: VM #133 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #66
0.1: Broker: VM #134 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #67
0.1: Broker: VM #135 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #67
0.1: Broker: VM #136 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #68
0.1: Broker: VM #137 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #68
0.1: Broker: VM #138 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #69
0.1: Broker: VM #139 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #69
